OBJECT,FULLOBJECT,THEME,TITLE,ABSTRACT,METADATA URL
aarroutes,aarroutes_line,transportation,Adopt-a-Road Routes,Routes in the Adopt-A-Road program (litter reduction); whether they are active and if so; which grou ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=aarroutes
acs_s010b01001,acs_s010b01001,census,2007-11 ACS: SEX BY AGE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Age-Sex subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s010b01001
acs_s011b01002,acs_s011b01002,census,2007-11 ACS: MEDIAN AGE BY SEX (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Age-Sex subject area. Provides infor ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s011b01002
acs_s012b02001,acs_s012b02001,census,2007-11 ACS: RACE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Race subject area. Provides informat ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s012b02001
acs_s013b03002,acs_s013b03002,census,2007-11 ACS: HISPANIC OR LATINO ORIGIN BY RACE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Hispanic Origin subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s013b03002
acs_s015b04003,acs_s015b04003,census,2007-11 ACS: TOTAL ANCESTRY REPORTED (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Ancestry subject area. Provides info ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s015b04003
acs_s017b05001,acs_s017b05001,census,2007-11 ACS: CITIZENSHIP STATUS IN THE UNITED STATES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s017b05001
acs_s017b05002,acs_s017b05002,census,2007-11 ACS: PLACE OF BIRTH BY CITIZENSHIP STATUS (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s017b05002
acs_s018b05005,acs_s018b05005,census,2007-11 ACS: YEAR OF ENTRY BY CITIZENSHIP STATUS IN THE UNITED STATES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s018b05005
acs_s018b05006,acs_s018b05006,census,2007-11 ACS: PLACE OF BIRTH FOR THE FOREIGN-BORN POPULATION IN THE UNITED STATES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s018b05006
acs_s019b05008,acs_s019b05008,census,2007-11 ACS: SEX BY PLACE OF BIRTH BY YEAR OF ENTRY FOR THE FOREIGN-BORN POPULATION (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Foreign Birth subject area. Provides ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s019b05008
acs_s020b06001,acs_s020b06001,census,2007-11 ACS: PLACE OF BIRTH BY AGE IN THE UNITED STATES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Place of Birth - Native subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s020b06001
acs_s022b07003,acs_s022b07003,census,2007-11 ACS: GEOGRAPHICAL MOBILITY IN THE PAST YEAR BY SEX FOR CURRENT RESIDENCE IN THE UNITED STATES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Residence Last Year - Migration subj ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s022b07003
acs_s024b07204,acs_s024b07204,census,2007-11 ACS: GEOGRAPHICAL MOBILITY IN THE PAST YEAR FOR CURRENT RESIDENCE--STATE; COUNTY AND PLACE LEVEL IN THE UNITED STATES (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Residence Last Year - Migration subj ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s024b07204
acs_s025b08006,acs_s025b08006,census,2007-11 ACS: SEX OF WORKERS BY MEANS OF TRANSPORTATION TO WORK (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s025b08006
acs_s025b08007,acs_s025b08007,census,2007-11 ACS: SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s025b08007
acs_s025b08008,acs_s025b08008,census,2007-11 ACS: SEX OF WORKERS BY PLACE OF WORK--PLACE LEVEL (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s025b08008
acs_s026b08101,acs_s026b08101,census,2007-11 ACS: MEANS OF TRANSPORTATION TO WORK BY AGE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s026b08101
acs_s030b08201,acs_s030b08201,census,2007-11 ACS: HOUSEHOLD SIZE BY VEHICLES AVAILABLE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s030b08201
acs_s030b08202,acs_s030b08202,census,2007-11 ACS: HOUSEHOLD SIZE BY NUMBER OF WORKERS IN HOUSEHOLD (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s030b08202
acs_s030b08301,acs_s030b08301,census,2007-11 ACS: MEANS OF TRANSPORTATION TO WORK (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s030b08301
acs_s030b08303,acs_s030b08303,census,2007-11 ACS: TRAVEL TIME TO WORK (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Journey to Work subject area. Provid ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s030b08303
acs_s031b09001,acs_s031b09001,census,2007-11 ACS: POPULATION UNDER 18 YEARS BY AGE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s031b09001
acs_s031b09002,acs_s031b09002,census,2007-11 ACS: OWN CHILDREN UNDER 18 YEARS BY FAMILY TYPE AND AGE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s031b09002
acs_s031b09016,acs_s031b09016,census,2007-11 ACS: HOUSEHOLD TYPE (INCLUDING LIVING ALONE) BY RELATIONSHIP (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Children - Relationship subject area ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s031b09016
acs_s033b11001,acs_s033b11001,census,2007-11 ACS: HOUSEHOLD TYPE (INCLUDING LIVING ALONE) (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Households - Families subject area.  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s033b11001
acs_s033b11012,acs_s033b11012,census,2007-11 ACS: HOUSEHOLD TYPE BY TENURE (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Households - Families subject area.  ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s033b11012
acs_s035b12001,acs_s035b12001,census,2007-11 ACS: SEX BY MARITAL STATUS FOR THE POPULATION 15 YEARS AND OVER (Based on 2010 Census Tracts),US Census American Community Survey (2007-2011) data table for: Marital Status subject area. Provide ...,http://www5.kingcounty.gov/sdc/Metadata.aspx?Layer=acs_s035b12001
